Duque Bacelar (MA);9624;9807;9990;10374;10587;10798;10704;10827;10744;10836;10942;11015;11084;11148;11208;11296;11349
Esperantinópolis (MA);21274;21587;21755;22109;22304;22498;19055;18815;17917;17715;17460;17238;17029;16833;16653;17379;17241
Estreito (MA);23361;23667;24009;24728;25125;25520;27328;27756;36826;37784;38932;39805;40629;41397;42110;41355;41946
Feira Nova do Maranhão (MA);7562;7532;7527;7516;7510;7505;7872;7899;8171;8215;8263;8293;8321;8347;8372;8481;8504
Fernando Falcão (MA);4844;4857;4873;4907;4925;4943;8404;8765;9415;9584;9783;9932;10073;10204;10326;10258;10360
Formosa da Serra Negra (MA);14791;15010;15581;16779;17442;18100;17432;17792;17464;17749;18087;18337;18573;18793;18997;18917;19089
Fortaleza dos Nogueiras (MA);11488;11693;11875;12257;12469;12679;11919;11972;12271;12306;12343;12360;12375;12390;12403;12615;12631
Fortuna (MA);14465;14391;14296;14096;13986;13876;14903;14922;15137;15174;15212;15226;15239;15251;15262;15536;15552
Godofredo Viana (MA);6951;6915;6878;6801;6758;6715;10823;11207;10523;10762;11046;11262;11464;11654;11830;11672;11819
Gonçalves Dias (MA);16533;16844;16869;16922;16951;16980;16914;16911;17514;17545;17572;17576;17579;17583;17586;17924;17934
Governador Archer (MA);8959;8854;8740;8501;8369;8237;10224;10330;10290;10372;10466;10531;10591;10648;10700;10793;10840
Governador Edison Lobão (MA);11182;11516;11807;12416;12753;13088;14557;14921;16280;16651;17094;17430;17747;18042;18316;18068;18296
Governador Eugênio Barros (MA);14846;14981;15145;15488;15678;15867;16341;16503;16096;16197;16312;16386;16456;16522;16582;16772;16828
Governador Luiz Rocha (MA);6486;6466;6444;6398;6372;6347;7091;7144;7401;7462;7532;7580;7626;7668;7708;7772;7807
Governador Newton Bello (MA);12050;12178;12352;12717;12919;13119;11666;11642;10205;10166;10113;10060;10011;9965;9921;10211;10180
Governador Nunes Freire (MA);27175;28106;29121;31250;32428;33597;24671;24520;25362;25323;25262;25188;25117;25052;24991;25616;25577
Graça Aranha (MA);6087;6120;6138;6177;6198;6220;6439;6470;6145;6150;6151;6147;6142;6138;6134;6263;6262
Grajaú (MA);48227;49089;50399;52303;53352;54392;55833;56633;63203;64510;65078;66732;67626;68458;69232;68876;69527
Guimarães (MA);12670;12700;12728;12785;12817;12849;12741;12740;12039;11997;11939;11881;11827;11776;11728;12063;12030
Humberto de Campos (MA);21412;21517;21634;21879;22015;22149;25037;25403;26567;26933;27364;27679;27976;28252;28509;28498;28717
Icatu (MA);21626;21659;21739;21905;21996;22088;25198;25557;25426;25698;26014;26240;26452;26651;26835;26953;27113
Igarapé do Meio (MA);10115;10311;10529;10986;11238;11489;12073;12291;12806;13052;13347;13567;13774;13968;14147;14026;14177
Igarapé Grande (MA);9661;9569;9480;9295;9192;9090;11003;11121;11167;11289;11431;11533;11628;11718;11206;11252;11320
Imperatriz (MA);230768;231134;231397;231950;232256;232560;236311;236691;248806;250063;251468;252320;253123;253873;254569;258016;258682
Itaipava do Grajaú (MA);13689;14359;11469;12236;12659;13081;13636;13964;12337;13103;14084;13579;15609;15817;16009;15897;16057
Itapecuru Mirim (MA);42637;50532;50682;50994;51168;51338;56241;56810;63024;63907;64951;65713;66433;67104;67726;67673;68203
Itinga do Maranhão (MA);24084;24832;25623;27283;28202;29114;25866;26125;24997;25125;25269;25357;25440;25518;25589;25932;26000
Jatobá (MA);4907;4820;4711;4482;4356;4230;8557;8909;8793;9051;9360;9596;9819;10027;10221;9993;10153
Jenipapo dos Vieiras (MA);10099;10241;14020;14348;14535;14719;15270;15438;15589;15733;15899;16015;16124;16226;16321;16432;16515
João Lisboa (MA);24732;24836;21448;21647;21757;21866;20482;20395;23641;23561;23450;23338;23232;23133;23042;23696;23632
Joselândia (MA);14551;14471;14406;14271;14197;14123;16054;16188;15626;15688;15755;15792;15827;15861;15891;16136;16168
Junco do Maranhão (MA);5720;5804;5929;6193;6339;6484;4101;3950;3904;3792;3653;3539;3431;3330;3237;3506;3432
Lago da Pedra (MA);40732;40962;41221;41764;42064;42362;43947;44272;46701;47298;48002;48511;48992;49440;49856;49911;50266
Lago do Junco (MA);9790;9770;9741;9680;9646;9612;9890;9888;10798;10865;9873;10565;10602;10638;10672;10808;10840
Lago Verde (MA);14014;14029;14036;14053;14062;14071;15014;15103;15520;15624;15742;15820;15893;15962;16025;16199;16257
